gsis_id,display_name,position,birth_date,pfr_id,espn_id
ALL405615,Harvey Allen,DB,1964-10-02,AlleHa20,
00-0020201,Ian Allen,G,1978-07-22,AlleIa20,4368
00-0026022,Jake Allen,WR,1985-01-18,AlleJa24,11734
00-0032872,Jack Allen,C,1992-09-24,AlleJa03,2576254
00-0000210,James Allen,RB,1975-03-28,AlleJa00,1420
00-0021207,James Allen,LB,1979-11-11,AlleJa21,3610
ALL444245,Jimmy Allen,FS,1952-03-06,AlleJi20,
00-0022740,Jared Allen,DE,1982-04-03,AlleJa22,5651
00-0024231,Jason Allen,DB,1983-07-05,AlleJa23,9602
00-0031577,Javorius Allen,RB,1991-08-27,AlleJa01,2577253
00-0029524,Jeff Allen,G,1990-01-08,AlleJe01,14990
ALL482875,Jeffrey Allen,CB,1957-07-18,,
00-0025796,Jermaine Allen,RB,1983-11-30,,
00-0033523,Jonathan Allen,DT,1995-01-16,AlleJo01,3054840
ALL521505,Carl Allen,CB,1955-12-21,AlleCa21,
00-0030833,Josh Allen,C,1991-12-30,AlleJo00,17102
00-0034857,Josh Allen,QB,1996-05-21,AlleJo02,3918298
00-0041096,Kaytron Allen,RB,2003-01-08,AlleKa01,4685246
00-0038830,Kazmeir Allen,WR,2000-02-29,AlleKa00,4367180
00-0030279,Keenan Allen,WR,1992-04-27,AlleKe00,15818
00-0021709,Kenderick Allen,DT,1978-09-14,AlleKe20,4761
ALL540820,Kevin Allen,OT,1963-06-21,AlleKe21,
00-0034577,Kyle Allen,QB,1996-03-08,AlleKy00,3115293
00-0000217,Larry Allen,G,1971-11-27,AlleLa00,609
00-0040238,LeQuint Allen Jr.,RB,2004-08-05,AlleLe01,4911851
ALL560135,Patrick Allen,DB,1961-08-26,AllePa20,
00-0000220,Marcus Allen,RB,1960-03-26,AlleMa00,6465
00-0034335,Marcus Allen,LB,1996-08-07,AlleMa03,3116149
00-0000226,Marvin Allen,RB,1965-11-23,AlleMa01,
00-0024493,Marvin Allen,WR,1983-03-05,,
00-0020214,Matt Allen,P,1977-10-23,AlleMa20,4300
00-0019257,Mikki Allen,DB,1977-11-15,,
00-0027652,Nate Allen,S,1987-11-30,AlleNa99,13257
